SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	ws
Stat	point
Units	lbs/ft2
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1852	09	01	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-1 09:30
1852	09	02	13	00	0	0.25	Orig=0.25 lbs/ft2|Local Time=1852-9-2 09:30
1852	09	03	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-9-3 09:30
1852	09	04	13	00	0	7.25	Orig=7.25 lbs/ft2|Local Time=1852-9-4 09:30
1852	09	05	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-9-5 09:30
1852	09	06	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-9-6 09:30
1852	09	07	13	00	0	0.5	Orig=0.5 lbs/ft2|Local Time=1852-9-7 09:30
1852	09	08	13	00	0	2.5	Orig=2.5 lbs/ft2|Local Time=1852-9-8 09:30
1852	09	09	13	00	0	7	Orig=7 lbs/ft2|Local Time=1852-9-9 09:30
1852	09	10	13	00	0	13	Orig=13 lbs/ft2|Local Time=1852-9-10 09:30
1852	09	11	13	00	0	3.5	Orig=3.5 lbs/ft2|Local Time=1852-9-11 09:30
1852	09	12	13	00	0	11	Orig=11 lbs/ft2|Local Time=1852-9-12 09:30
1852	09	13	13	00	0	5.5	Orig=5.5 lbs/ft2|Local Time=1852-9-13 09:30
1852	09	14	13	00	0	6	Orig=6 lbs/ft2|Local Time=1852-9-14 09:30
1852	09	15	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-15 09:30
1852	09	16	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-16 09:30
1852	09	17	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-17 09:30
1852	09	18	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-18 09:30
1852	09	19	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-19 09:30
1852	09	20	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-20 09:30
1852	09	21	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-9-21 09:30
1852	09	22	13	00	0	9	Orig=9 lbs/ft2|Local Time=1852-9-22 09:30
1852	09	23	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-9-23 09:30
1852	09	24	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-9-24 09:30
1852	09	25	13	00	0	6	Orig=6 lbs/ft2|Local Time=1852-9-25 09:30
1852	09	26	13	00	0	7	Orig=7 lbs/ft2|Local Time=1852-9-26 09:30
1852	09	27	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-27 09:30
1852	09	28	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-9-28 09:30
1852	09	29	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-9-29 09:30
1852	09	30	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-9-30 09:30
1852	10	01	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-10-1 09:30
1852	10	02	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-10-2 09:30
1852	10	03	13	00	0	7	Orig=7 lbs/ft2|Local Time=1852-10-3 09:30
1852	10	04	13	00	0	12	Orig=12 lbs/ft2|Local Time=1852-10-4 09:30
1852	10	05	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-10-5 09:30
1852	10	06	13	00	0	6	Orig=6 lbs/ft2|Local Time=1852-10-6 09:30
1852	10	07	13	00	0	9	Orig=9 lbs/ft2|Local Time=1852-10-7 09:30
1852	10	08	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-10-8 09:30
1852	10	09	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-10-9 09:30
1852	10	10	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-10-10 09:30
1852	10	11	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-10-11 09:30
1852	10	12	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-10-12 09:30
1852	10	13	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-10-13 09:30
1852	10	14	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-10-14 09:30
1852	10	15	13	00	0	2.5	Orig=2.5 lbs/ft2|Local Time=1852-10-15 09:30
1852	10	16	13	00	0	7	Orig=7 lbs/ft2|Local Time=1852-10-16 09:30
1852	10	17	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-10-17 09:30
1852	10	18	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-10-18 09:30
1852	10	19	13	00	0	2.5	Orig=2.5 lbs/ft2|Local Time=1852-10-19 09:30
1852	10	20	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-10-20 09:30
1852	10	21	13	00	0	6	Orig=6 lbs/ft2|Local Time=1852-10-21 09:30
1852	10	22	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-10-22 09:30
1852	10	23	13	00	0	3.5	Orig=3.5 lbs/ft2|Local Time=1852-10-23 09:30
1852	10	24	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-10-24 09:30
1852	10	25	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-10-25 09:30
1852	10	26	13	00	0	4	Orig=4 lbs/ft2|Local Time=1852-10-26 09:30
1852	10	27	13	00	0	6.5	Orig=6.5 lbs/ft2|Local Time=1852-10-27 09:30
1852	10	28	13	00	0	11.5	Orig=11.5 lbs/ft2|Local Time=1852-10-28 09:30
1852	10	29	13	00	0	13	Orig=13 lbs/ft2|Local Time=1852-10-29 09:30
1852	10	30	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-10-30 09:30
1852	10	31	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-10-31 09:30
1852	11	01	13	00	0	2.5	Orig=2.5 lbs/ft2|Local Time=1852-11-1 09:30
1852	11	02	13	00	0	1	Orig=1 lbs/ft2|Local Time=1852-11-2 09:30
1852	11	03	13	00	0	4	Orig=4 lbs/ft2|Local Time=1852-11-3 09:30
1852	11	04	13	00	0	3.5	Orig=3.5 lbs/ft2|Local Time=1852-11-4 09:30
1852	11	05	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-11-5 09:30
1852	11	06	13	00	0	4	Orig=4 lbs/ft2|Local Time=1852-11-6 09:30
1852	11	07	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-11-7 09:30
1852	11	08	13	00	0	2.5	Orig=2.5 lbs/ft2|Local Time=1852-11-8 09:30
1852	11	09	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-11-9 09:30
1852	11	10	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-11-10 09:30
1852	11	11	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-11-11 09:30
1852	11	12	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-11-12 09:30
1852	11	13	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-11-13 09:30
1852	11	14	13	00	0	4	Orig=4 lbs/ft2|Local Time=1852-11-14 09:30
1852	11	15	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-11-15 09:30
1852	11	16	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-11-16 09:30
1852	11	17	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-11-17 09:30
1852	11	18	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-11-18 09:30
1852	11	19	13	00	0	4	Orig=4 lbs/ft2|Local Time=1852-11-19 09:30
1852	11	20	13	00	0	17	Orig=17 lbs/ft2|Local Time=1852-11-20 09:30
1852	11	21	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-11-21 09:30
1852	11	22	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-11-22 09:30
1852	11	23	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-11-23 09:30
1852	11	24	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-11-24 09:30
1852	11	25	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-11-25 09:30
1852	11	26	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-11-26 09:30
1852	11	27	13	00	0	8	Orig=8 lbs/ft2|Local Time=1852-11-27 09:30
1852	11	28	13	00	0	3.5	Orig=3.5 lbs/ft2|Local Time=1852-11-28 09:30
1852	11	29	13	00	0	1.5	Orig=1.5 lbs/ft2|Local Time=1852-11-29 09:30
1852	11	30	13	00	0	1.5	Orig=1.5 lbs/ft2|Local Time=1852-11-30 09:30
1852	12	01	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-12-1 09:30
1852	12	02	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-12-2 09:30
1852	12	03	13	00	0	-999.9	Orig=-999.9 lbs/ft2|Local Time=1852-12-3 09:30
1852	12	04	13	00	0	6	Orig=6 lbs/ft2|Local Time=1852-12-4 09:30
1852	12	05	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-12-5 09:30
1852	12	06	13	00	0	3	Orig=3 lbs/ft2|Local Time=1852-12-6 09:30
1852	12	07	13	00	0	10	Orig=10 lbs/ft2|Local Time=1852-12-7 09:30
1852	12	08	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-12-8 09:30
1852	12	09	13	00	0	1.5	Orig=1.5 lbs/ft2|Local Time=1852-12-9 09:30
1852	12	10	13	00	0	5	Orig=5 lbs/ft2|Local Time=1852-12-10 09:30
1852	12	11	13	00	0	2	Orig=2 lbs/ft2|Local Time=1852-12-11 09:30
1852	12	12	13	00	0	9	Orig=9 lbs/ft2|Local Time=1852-12-12 09:30
1852	12	13	13	00	0	39.75	Orig=39.75 lbs/ft2|Local Time=1852-12-13 09:30
