SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	o3
Stat	point
Units	scale
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1866	01	01	12	30	0	5	Orig=5 scale|Local Time=1866-1-1 09:00
1866	01	01	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-1 15:00
1866	01	02	12	30	0	4	Orig=4 scale|Local Time=1866-1-2 09:00
1866	01	02	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-2 15:00
1866	01	03	12	30	0	4	Orig=4 scale|Local Time=1866-1-3 09:00
1866	01	03	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-3 15:00
1866	01	04	12	30	0	4	Orig=4 scale|Local Time=1866-1-4 09:00
1866	01	04	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-4 15:00
1866	01	05	12	30	0	4	Orig=4 scale|Local Time=1866-1-5 09:00
1866	01	05	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-5 15:00
1866	01	06	12	30	0	4	Orig=4 scale|Local Time=1866-1-6 09:00
1866	01	06	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-6 15:00
1866	01	07	12	30	0	6	Orig=6 scale|Local Time=1866-1-7 09:00
1866	01	07	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-7 15:00
1866	01	08	12	30	0	5	Orig=5 scale|Local Time=1866-1-8 09:00
1866	01	08	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-8 15:00
1866	01	09	12	30	0	7	Orig=7 scale|Local Time=1866-1-9 09:00
1866	01	09	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-9 15:00
1866	01	10	12	30	0	2	Orig=2 scale|Local Time=1866-1-10 09:00
1866	01	10	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-10 15:00
1866	01	11	12	30	0	2	Orig=2 scale|Local Time=1866-1-11 09:00
1866	01	11	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-11 15:00
1866	01	12	12	30	0	5	Orig=5 scale|Local Time=1866-1-12 09:00
1866	01	12	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-12 15:00
1866	01	13	12	30	0	4	Orig=4 scale|Local Time=1866-1-13 09:00
1866	01	13	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-13 15:00
1866	01	14	12	30	0	6	Orig=6 scale|Local Time=1866-1-14 09:00
1866	01	14	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-14 15:00
1866	01	15	12	30	0	4	Orig=4 scale|Local Time=1866-1-15 09:00
1866	01	15	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-15 15:00
1866	01	16	12	30	0	5	Orig=5 scale|Local Time=1866-1-16 09:00
1866	01	16	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-16 15:00
1866	01	17	12	30	0	3	Orig=3 scale|Local Time=1866-1-17 09:00
1866	01	17	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-17 15:00
1866	01	18	12	30	0	2	Orig=2 scale|Local Time=1866-1-18 09:00
1866	01	18	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-18 15:00
1866	01	19	12	30	0	4	Orig=4 scale|Local Time=1866-1-19 09:00
1866	01	19	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-19 15:00
1866	01	20	12	30	0	3	Orig=3 scale|Local Time=1866-1-20 09:00
1866	01	20	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-20 15:00
1866	01	21	12	30	0	7	Orig=7 scale|Local Time=1866-1-21 09:00
1866	01	21	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-21 15:00
1866	01	22	12	30	0	2	Orig=2 scale|Local Time=1866-1-22 09:00
1866	01	22	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-22 15:00
1866	01	23	12	30	0	3	Orig=3 scale|Local Time=1866-1-23 09:00
1866	01	23	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-23 15:00
1866	01	24	12	30	0	4	Orig=4 scale|Local Time=1866-1-24 09:00
1866	01	24	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-24 15:00
1866	01	25	12	30	0	4	Orig=4 scale|Local Time=1866-1-25 09:00
1866	01	25	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-25 15:00
1866	01	26	12	30	0	3	Orig=3 scale|Local Time=1866-1-26 09:00
1866	01	26	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-26 15:00
1866	01	27	12	30	0	2	Orig=2 scale|Local Time=1866-1-27 09:00
1866	01	27	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-27 15:00
1866	01	28	12	30	0	5	Orig=5 scale|Local Time=1866-1-28 09:00
1866	01	28	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-28 15:00
1866	01	29	12	30	0	1	Orig=1 scale|Local Time=1866-1-29 09:00
1866	01	29	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-29 15:00
1866	01	30	12	30	0	7	Orig=7 scale|Local Time=1866-1-30 09:00
1866	01	30	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-30 15:00
1866	01	31	12	30	0	6	Orig=6 scale|Local Time=1866-1-31 09:00
1866	01	31	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-1-31 15:00
1866	02	01	12	30	0	5	Orig=5 scale|Local Time=1866-2-1 09:00
1866	02	01	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-1 15:00
1866	02	02	12	30	0	6	Orig=6 scale|Local Time=1866-2-2 09:00
1866	02	02	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-2 15:00
1866	02	03	12	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-3 09:00
1866	02	03	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-3 15:00
1866	02	04	12	30	0	1	Orig=1 scale|Local Time=1866-2-4 09:00
1866	02	04	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-4 15:00
1866	02	05	12	30	0	2	Orig=2 scale|Local Time=1866-2-5 09:00
1866	02	05	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-5 15:00
1866	02	06	12	30	0	3	Orig=3 scale|Local Time=1866-2-6 09:00
1866	02	06	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-6 15:00
1866	02	07	12	30	0	4	Orig=4 scale|Local Time=1866-2-7 09:00
1866	02	07	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-7 15:00
1866	02	08	12	30	0	4	Orig=4 scale|Local Time=1866-2-8 09:00
1866	02	08	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-8 15:00
1866	02	09	12	30	0	3	Orig=3 scale|Local Time=1866-2-9 09:00
1866	02	09	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-9 15:00
1866	02	10	12	30	0	5	Orig=5 scale|Local Time=1866-2-10 09:00
1866	02	10	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-10 15:00
1866	02	11	12	30	0	6	Orig=6 scale|Local Time=1866-2-11 09:00
1866	02	11	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-11 15:00
1866	02	12	12	30	0	5	Orig=5 scale|Local Time=1866-2-12 09:00
1866	02	12	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-12 15:00
1866	02	13	12	30	0	2	Orig=2 scale|Local Time=1866-2-13 09:00
1866	02	13	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-13 15:00
1866	02	14	12	30	0	1	Orig=1 scale|Local Time=1866-2-14 09:00
1866	02	14	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-14 15:00
1866	02	15	12	30	0	3	Orig=3 scale|Local Time=1866-2-15 09:00
1866	02	15	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-15 15:00
1866	02	16	12	30	0	3	Orig=3 scale|Local Time=1866-2-16 09:00
1866	02	16	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-16 15:00
1866	02	17	12	30	0	4	Orig=4 scale|Local Time=1866-2-17 09:00
1866	02	17	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-17 15:00
1866	02	18	12	30	0	3	Orig=3 scale|Local Time=1866-2-18 09:00
1866	02	18	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-18 15:00
1866	02	19	12	30	0	4	Orig=4 scale|Local Time=1866-2-19 09:00
1866	02	19	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-19 15:00
1866	02	20	12	30	0	2	Orig=2 scale|Local Time=1866-2-20 09:00
1866	02	20	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-20 15:00
1866	02	21	12	30	0	2	Orig=2 scale|Local Time=1866-2-21 09:00
1866	02	21	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-21 15:00
1866	02	22	12	30	0	1	Orig=1 scale|Local Time=1866-2-22 09:00
1866	02	22	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-22 15:00
1866	02	23	12	30	0	2	Orig=2 scale|Local Time=1866-2-23 09:00
1866	02	23	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-23 15:00
1866	02	24	12	30	0	3	Orig=3 scale|Local Time=1866-2-24 09:00
1866	02	24	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-24 15:00
1866	02	25	12	30	0	3	Orig=3 scale|Local Time=1866-2-25 09:00
1866	02	25	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-25 15:00
1866	02	26	12	30	0	4	Orig=4 scale|Local Time=1866-2-26 09:00
1866	02	26	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-26 15:00
1866	02	27	12	30	0	3	Orig=3 scale|Local Time=1866-2-27 09:00
1866	02	27	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-27 15:00
1866	02	28	12	30	0	4	Orig=4 scale|Local Time=1866-2-28 09:00
1866	02	28	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-2-28 15:00
1866	03	01	12	30	0	2	Orig=2 scale|Local Time=1866-3-1 09:00
1866	03	01	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-1 15:00
1866	03	02	12	30	0	2	Orig=2 scale|Local Time=1866-3-2 09:00
1866	03	02	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-2 15:00
1866	03	03	12	30	0	4	Orig=4 scale|Local Time=1866-3-3 09:00
1866	03	03	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-3 15:00
1866	03	04	12	30	0	2	Orig=2 scale|Local Time=1866-3-4 09:00
1866	03	04	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-4 15:00
1866	03	05	12	30	0	3	Orig=3 scale|Local Time=1866-3-5 09:00
1866	03	05	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-5 15:00
1866	03	06	12	30	0	2	Orig=2 scale|Local Time=1866-3-6 09:00
1866	03	06	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-6 15:00
1866	03	07	12	30	0	3	Orig=3 scale|Local Time=1866-3-7 09:00
1866	03	07	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-7 15:00
1866	03	08	12	30	0	4	Orig=4 scale|Local Time=1866-3-8 09:00
1866	03	08	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-8 15:00
1866	03	09	12	30	0	4	Orig=4 scale|Local Time=1866-3-9 09:00
1866	03	09	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-9 15:00
1866	03	10	12	30	0	5	Orig=5 scale|Local Time=1866-3-10 09:00
1866	03	10	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-10 15:00
1866	03	11	12	30	0	2	Orig=2 scale|Local Time=1866-3-11 09:00
1866	03	11	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-11 15:00
1866	03	12	12	30	0	4	Orig=4 scale|Local Time=1866-3-12 09:00
1866	03	12	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-12 15:00
1866	03	13	12	30	0	4	Orig=4 scale|Local Time=1866-3-13 09:00
1866	03	13	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-13 15:00
1866	03	14	12	30	0	3	Orig=3 scale|Local Time=1866-3-14 09:00
1866	03	14	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-14 15:00
1866	03	15	12	30	0	2	Orig=2 scale|Local Time=1866-3-15 09:00
1866	03	15	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-15 15:00
1866	03	16	12	30	0	4	Orig=4 scale|Local Time=1866-3-16 09:00
1866	03	16	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-16 15:00
1866	03	17	12	30	0	3	Orig=3 scale|Local Time=1866-3-17 09:00
1866	03	17	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-17 15:00
1866	03	18	12	30	0	2	Orig=2 scale|Local Time=1866-3-18 09:00
1866	03	18	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-18 15:00
1866	03	19	12	30	0	3	Orig=3 scale|Local Time=1866-3-19 09:00
1866	03	19	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-19 15:00
1866	03	20	12	30	0	2	Orig=2 scale|Local Time=1866-3-20 09:00
1866	03	20	18	30	0	-999.9	Orig=-999.9 scale|Local Time=1866-3-20 15:00
1866	03	21	12	30	0	2	Orig=2 scale|Local Time=1866-3-21 09:00
1866	03	21	18	30	0	2	Orig=2 scale|Local Time=1866-3-21 15:00
1866	03	22	12	30	0	2	Orig=2 scale|Local Time=1866-3-22 09:00
1866	03	22	18	30	0	1	Orig=1 scale|Local Time=1866-3-22 15:00
1866	03	23	12	30	0	2	Orig=2 scale|Local Time=1866-3-23 09:00
1866	03	23	18	30	0	2	Orig=2 scale|Local Time=1866-3-23 15:00
1866	03	24	12	30	0	2	Orig=2 scale|Local Time=1866-3-24 09:00
