SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	rrg
Stat	point
Units	mm
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1866	01	01	03	30	0	0.00	Orig=0 in|Local Time=1866-1-1 00:00
1866	01	02	03	30	0	0.00	Orig=0 in|Local Time=1866-1-2 00:00
1866	01	03	03	30	0	0.00	Orig=0 in|Local Time=1866-1-3 00:00
1866	01	04	03	30	0	0.00	Orig=0 in|Local Time=1866-1-4 00:00
1866	01	05	03	30	0	5.08	Orig=0.2 in|Local Time=1866-1-5 00:00
1866	01	06	03	30	0	0.00	Orig=0 in|Local Time=1866-1-6 00:00
1866	01	07	03	30	0	0.00	Orig=0 in|Local Time=1866-1-7 00:00
1866	01	08	03	30	0	0.00	Orig=0 in|Local Time=1866-1-8 00:00
1866	01	09	03	30	0	0.00	Orig=0 in|Local Time=1866-1-9 00:00
1866	01	10	03	30	0	0.00	Orig=0 in|Local Time=1866-1-10 00:00
1866	01	11	03	30	0	20.32	Orig=0.8 in|Local Time=1866-1-11 00:00
1866	01	12	03	30	0	0.00	Orig=0 in|Local Time=1866-1-12 00:00
1866	01	13	03	30	0	0.00	Orig=0 in|Local Time=1866-1-13 00:00
1866	01	14	03	30	0	0.00	Orig=0 in|Local Time=1866-1-14 00:00
1866	01	15	03	30	0	0.00	Orig=0 in|Local Time=1866-1-15 00:00
1866	01	16	03	30	0	0.00	Orig=0 in|Local Time=1866-1-16 00:00
1866	01	17	03	30	0	0.00	Orig=0 in|Local Time=1866-1-17 00:00
1866	01	18	03	30	0	0.00	Orig=0 in|Local Time=1866-1-18 00:00
1866	01	19	03	30	0	0.00	Orig=0 in|Local Time=1866-1-19 00:00
1866	01	20	03	30	0	0.00	Orig=0 in|Local Time=1866-1-20 00:00
1866	01	21	03	30	0	0.00	Orig=0 in|Local Time=1866-1-21 00:00
1866	01	22	03	30	0	10.16	Orig=0.4 in|Local Time=1866-1-22 00:00
1866	01	23	03	30	0	0.00	Orig=0 in|Local Time=1866-1-23 00:00
1866	01	24	03	30	0	0.00	Orig=0 in|Local Time=1866-1-24 00:00
1866	01	25	03	30	0	0.00	Orig=0 in|Local Time=1866-1-25 00:00
1866	01	26	03	30	0	0.00	Orig=0 in|Local Time=1866-1-26 00:00
