SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	sd
Stat	point
Units	mm
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1874	01	01	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-1 00:00
1874	01	02	03	30	0	33.02	Orig=1.3 in|Local Time=1874-1-2 00:00
1874	01	03	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-3 00:00
1874	01	04	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-4 00:00
1874	01	05	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-5 00:00
1874	01	06	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-6 00:00
1874	01	07	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-7 00:00
1874	01	08	03	30	0	63.50	Orig=2.5 in|Local Time=1874-1-8 00:00
1874	01	09	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-9 00:00
1874	01	10	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-10 00:00
1874	01	11	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-11 00:00
1874	01	12	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-12 00:00
1874	01	13	03	30	0	58.42	Orig=2.3 in|Local Time=1874-1-13 00:00
1874	01	14	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-14 00:00
1874	01	15	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-15 00:00
1874	01	16	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-16 00:00
1874	01	17	03	30	0	7.62	Orig=0.3 in|Local Time=1874-1-17 00:00
1874	01	18	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-18 00:00
1874	01	19	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-19 00:00
1874	01	20	03	30	0	185.42	Orig=7.3 in|Local Time=1874-1-20 00:00
1874	01	21	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-21 00:00
1874	01	22	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-22 00:00
1874	01	23	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-23 00:00
1874	01	24	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-24 00:00
1874	01	25	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-25 00:00
1874	01	26	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-26 00:00
1874	01	27	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-27 00:00
1874	01	28	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-28 00:00
1874	01	29	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-29 00:00
1874	01	30	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-30 00:00
1874	01	31	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-1-31 00:00
1874	02	01	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-1 00:00
1874	02	02	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-2 00:00
1874	02	03	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-3 00:00
1874	02	04	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-4 00:00
1874	02	05	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-5 00:00
1874	02	06	03	30	0	93.98	Orig=3.7 in|Local Time=1874-2-6 00:00
1874	02	07	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-7 00:00
1874	02	08	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-8 00:00
1874	02	09	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-9 00:00
1874	02	10	03	30	0	147.32	Orig=5.8 in|Local Time=1874-2-10 00:00
1874	02	11	03	30	0	33.02	Orig=1.3 in|Local Time=1874-2-11 00:00
1874	02	12	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-12 00:00
1874	02	13	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-13 00:00
1874	02	14	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-14 00:00
1874	02	15	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-15 00:00
1874	02	16	03	30	0	63.50	Orig=2.5 in|Local Time=1874-2-16 00:00
1874	02	17	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-17 00:00
1874	02	18	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-18 00:00
1874	02	19	03	30	0	17.78	Orig=0.7 in|Local Time=1874-2-19 00:00
1874	02	20	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-20 00:00
1874	02	21	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-21 00:00
1874	02	22	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-22 00:00
1874	02	23	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-23 00:00
1874	02	24	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-24 00:00
1874	02	25	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-25 00:00
1874	02	26	03	30	0	190.50	Orig=7.5 in|Local Time=1874-2-26 00:00
1874	02	27	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-27 00:00
1874	02	28	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-2-28 00:00
1874	03	01	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-3-1 00:00
1874	03	02	03	30	0	50.80	Orig=2 in|Local Time=1874-3-2 00:00
1874	03	03	03	30	0	-999.9	Orig=-999.9 in|Local Time=1874-3-3 00:00
