SEF	1.0.0
ID	2580
Name	'StJohn's'
Lat	47.55
Lon	-52.7
Alt	125
Source	ACRE-Canada
Link	TBD
Vbl	w1
Stat	point
Units	text
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1874	01	01	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-1 09:00
1874	01	01	18	30	0	missing	Orig=missing text|Local Time=1874-1-1 15:00
1874	01	02	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-2 09:00
1874	01	02	18	30	0	missing	Orig=missing text|Local Time=1874-1-2 15:00
1874	01	03	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-3 09:00
1874	01	03	18	30	0	missing	Orig=missing text|Local Time=1874-1-3 15:00
1874	01	04	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-4 09:00
1874	01	04	18	30	0	missing	Orig=missing text|Local Time=1874-1-4 15:00
1874	01	05	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-5 09:00
1874	01	05	18	30	0	missing	Orig=missing text|Local Time=1874-1-5 15:00
1874	01	06	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-6 09:00
1874	01	06	18	30	0	missing	Orig=missing text|Local Time=1874-1-6 15:00
1874	01	07	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-7 09:00
1874	01	07	18	30	0	missing	Orig=missing text|Local Time=1874-1-7 15:00
1874	01	08	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-8 09:00
1874	01	08	18	30	0	missing	Orig=missing text|Local Time=1874-1-8 15:00
1874	01	09	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-9 09:00
1874	01	09	18	30	0	missing	Orig=missing text|Local Time=1874-1-9 15:00
1874	01	10	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-10 09:00
1874	01	10	18	30	0	missing	Orig=missing text|Local Time=1874-1-10 15:00
1874	01	11	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-11 09:00
1874	01	11	18	30	0	missing	Orig=missing text|Local Time=1874-1-11 15:00
1874	01	12	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-12 09:00
1874	01	12	18	30	0	missing	Orig=missing text|Local Time=1874-1-12 15:00
1874	01	13	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-13 09:00
1874	01	13	18	30	0	missing	Orig=missing text|Local Time=1874-1-13 15:00
1874	01	14	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-14 09:00
1874	01	14	18	30	0	missing	Orig=missing text|Local Time=1874-1-14 15:00
1874	01	15	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-15 09:00
1874	01	15	18	30	0	missing	Orig=missing text|Local Time=1874-1-15 15:00
1874	01	16	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-16 09:00
1874	01	16	18	30	0	missing	Orig=missing text|Local Time=1874-1-16 15:00
1874	01	17	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-17 09:00
1874	01	17	18	30	0	missing	Orig=missing text|Local Time=1874-1-17 15:00
1874	01	18	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-18 09:00
1874	01	18	18	30	0	missing	Orig=missing text|Local Time=1874-1-18 15:00
1874	01	19	12	30	0	-999.9	Orig=-999.9 text|Local Time=1874-1-19 09:00
1874	01	19	18	30	0	missing	Orig=missing text|Local Time=1874-1-19 15:00
