SEF	1.0.0
ID	2590
Name	'StJohn's '
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	Tx
Stat	point
Units	C
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1832	08	21	03	30	0	16.11	Orig=61 F|Local Time=1832-8-21 00:00
1832	08	22	03	30	0	21.67	Orig=71 F|Local Time=1832-8-22 00:00
1832	08	23	03	30	0	21.11	Orig=70 F|Local Time=1832-8-23 00:00
1832	08	24	03	30	0	20.56	Orig=69 F|Local Time=1832-8-24 00:00
1832	08	25	03	30	0	21.67	Orig=71 F|Local Time=1832-8-25 00:00
1832	08	26	03	30	0	17.78	Orig=64 F|Local Time=1832-8-26 00:00
1832	08	27	03	30	0	17.78	Orig=64 F|Local Time=1832-8-27 00:00
1832	08	28	03	30	0	18.33	Orig=65 F|Local Time=1832-8-28 00:00
1832	08	29	03	30	0	20.56	Orig=69 F|Local Time=1832-8-29 00:00
1832	08	30	03	30	0	22.78	Orig=73 F|Local Time=1832-8-30 00:00
1832	08	31	03	30	0	19.44	Orig=67 F|Local Time=1832-8-31 00:00
1832	09	01	03	30	0	14.44	Orig=58 F|Local Time=1832-9-1 00:00
1832	09	02	03	30	0	13.89	Orig=57 F|Local Time=1832-9-2 00:00
1832	09	03	03	30	0	12.78	Orig=55 F|Local Time=1832-9-3 00:00
1832	09	04	03	30	0	22.22	Orig=72 F|Local Time=1832-9-4 00:00
1832	09	05	03	30	0	17.22	Orig=63 F|Local Time=1832-9-5 00:00
1832	09	06	03	30	0	22.22	Orig=72 F|Local Time=1832-9-6 00:00
1832	09	07	03	30	0	19.44	Orig=67 F|Local Time=1832-9-7 00:00
1832	09	08	03	30	0	17.78	Orig=64 F|Local Time=1832-9-8 00:00
1832	09	09	03	30	0	22.22	Orig=72 F|Local Time=1832-9-9 00:00
1832	09	10	03	30	0	16.67	Orig=62 F|Local Time=1832-9-10 00:00
1832	09	11	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-11 00:00
1832	09	12	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-12 00:00
1832	09	13	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-13 00:00
1832	09	14	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-14 00:00
1832	09	15	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-15 00:00
1832	09	16	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-16 00:00
1832	09	17	03	30	0	-999.9	Orig=-999 F|Local Time=1832-9-17 00:00
1832	09	18	03	30	0	14.44	Orig=58 F|Local Time=1832-9-18 00:00
1832	09	19	03	30	0	11.67	Orig=53 F|Local Time=1832-9-19 00:00
1832	09	20	03	30	0	11.11	Orig=52 F|Local Time=1832-9-20 00:00
1832	09	21	03	30	0	11.11	Orig=52 F|Local Time=1832-9-21 00:00
1832	09	22	03	30	0	16.67	Orig=62 F|Local Time=1832-9-22 00:00
1832	09	23	03	30	0	23.33	Orig=74 F|Local Time=1832-9-23 00:00
1832	09	24	03	30	0	17.22	Orig=63 F|Local Time=1832-9-24 00:00
1832	09	25	03	30	0	17.78	Orig=64 F|Local Time=1832-9-25 00:00
1832	09	26	03	30	0	18.89	Orig=66 F|Local Time=1832-9-26 00:00
1832	09	27	03	30	0	18.33	Orig=65 F|Local Time=1832-9-27 00:00
1832	09	28	03	30	0	17.22	Orig=63 F|Local Time=1832-9-28 00:00
1832	09	29	03	30	0	20.56	Orig=69 F|Local Time=1832-9-29 00:00
1832	09	30	03	30	0	22.78	Orig=73 F|Local Time=1832-9-30 00:00
1832	10	01	03	30	0	19.44	Orig=67 F|Local Time=1832-10-1 00:00
1832	10	02	03	30	0	10.00	Orig=50 F|Local Time=1832-10-2 00:00
1832	10	03	03	30	0	10.56	Orig=51 F|Local Time=1832-10-3 00:00
1832	10	04	03	30	0	10.56	Orig=51 F|Local Time=1832-10-4 00:00
1832	10	05	03	30	0	11.67	Orig=53 F|Local Time=1832-10-5 00:00
1832	10	06	03	30	0	17.78	Orig=64 F|Local Time=1832-10-6 00:00
1832	10	07	03	30	0	15.56	Orig=60 F|Local Time=1832-10-7 00:00
1832	10	08	03	30	0	10.56	Orig=51 F|Local Time=1832-10-8 00:00
1832	10	09	03	30	0	7.78	Orig=46 F|Local Time=1832-10-9 00:00
1832	10	10	03	30	0	12.78	Orig=55 F|Local Time=1832-10-10 00:00
1832	10	11	03	30	0	14.44	Orig=58 F|Local Time=1832-10-11 00:00
1832	10	12	03	30	0	16.67	Orig=62 F|Local Time=1832-10-12 00:00
1832	10	13	03	30	0	16.11	Orig=61 F|Local Time=1832-10-13 00:00
1832	10	14	03	30	0	13.33	Orig=56 F|Local Time=1832-10-14 00:00
1832	10	15	03	30	0	7.78	Orig=46 F|Local Time=1832-10-15 00:00
1832	10	16	03	30	0	5.00	Orig=41 F|Local Time=1832-10-16 00:00
1832	10	17	03	30	0	11.67	Orig=53 F|Local Time=1832-10-17 00:00
1832	10	18	03	30	0	15.00	Orig=59 F|Local Time=1832-10-18 00:00
1832	10	19	03	30	0	5.56	Orig=42 F|Local Time=1832-10-19 00:00
1832	10	20	03	30	0	8.89	Orig=48 F|Local Time=1832-10-20 00:00
