SEF	1.0.0
ID	2590
Name	'StJohn's '
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1832	08	21	12	30	0	1012.7	Orig=29.9 inHg|Local Time=1832-8-21 09:00
1832	08	22	12	30	0	1016.1	Orig=30 inHg|Local Time=1832-8-22 09:00
1832	08	23	12	30	0	1019.5	Orig=30.1 inHg|Local Time=1832-8-23 09:00
1832	08	24	12	30	0	1015.5	Orig=29.98 inHg|Local Time=1832-8-24 09:00
1832	08	25	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1832-8-25 09:00
1832	08	26	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1832-8-26 09:00
1832	08	27	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1832-8-27 09:00
1832	08	28	12	30	0	1012.7	Orig=29.9 inHg|Local Time=1832-8-28 09:00
1832	08	29	12	30	0	1021.2	Orig=30.15 inHg|Local Time=1832-8-29 09:00
1832	08	30	12	30	0	1018.8	Orig=30.08 inHg|Local Time=1832-8-30 09:00
1832	08	31	12	30	0	1014.4	Orig=29.95 inHg|Local Time=1832-8-31 09:00
1832	09	01	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1832-9-1 09:00
1832	09	02	12	30	0	994.1	Orig=29.35 inHg|Local Time=1832-9-2 09:00
1832	09	03	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1832-9-3 09:00
1832	09	04	12	30	0	1016.1	Orig=30 inHg|Local Time=1832-9-4 09:00
1832	09	05	12	30	0	1018.8	Orig=30.08 inHg|Local Time=1832-9-5 09:00
1832	09	06	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1832-9-6 09:00
1832	09	07	12	30	0	1002.6	Orig=29.6 inHg|Local Time=1832-9-7 09:00
1832	09	08	12	30	0	1014.4	Orig=29.95 inHg|Local Time=1832-9-8 09:00
1832	09	09	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1832-9-9 09:00
1832	09	10	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1832-9-10 09:00
1832	09	18	12	30	0	1012.1	Orig=29.88 inHg|Local Time=1832-9-18 09:00
1832	09	19	12	30	0	1006.0	Orig=29.7 inHg|Local Time=1832-9-19 09:00
1832	09	20	12	30	0	1010.0	Orig=29.82 inHg|Local Time=1832-9-20 09:00
1832	09	21	12	30	0	1016.1	Orig=30 inHg|Local Time=1832-9-21 09:00
1832	09	22	12	30	0	1021.2	Orig=30.15 inHg|Local Time=1832-9-22 09:00
1832	09	23	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1832-9-23 09:00
1832	09	24	12	30	0	1016.1	Orig=30 inHg|Local Time=1832-9-24 09:00
1832	09	25	12	30	0	1021.2	Orig=30.15 inHg|Local Time=1832-9-25 09:00
1832	09	26	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1832-9-26 09:00
1832	09	27	12	30	0	1011.1	Orig=29.85 inHg|Local Time=1832-9-27 09:00
1832	09	28	12	30	0	1016.1	Orig=30 inHg|Local Time=1832-9-28 09:00
1832	09	29	12	30	0	1019.5	Orig=30.1 inHg|Local Time=1832-9-29 09:00
1832	09	30	12	30	0	1018.2	Orig=30.06 inHg|Local Time=1832-9-30 09:00
1832	10	01	12	30	0	1009.3	Orig=29.8 inHg|Local Time=1832-10-1 09:00
1832	10	02	12	30	0	1015.5	Orig=29.98 inHg|Local Time=1832-10-2 09:00
1832	10	03	12	30	0	1021.2	Orig=30.15 inHg|Local Time=1832-10-3 09:00
1832	10	04	12	30	0	1014.4	Orig=29.95 inHg|Local Time=1832-10-4 09:00
1832	10	05	12	30	0	1018.8	Orig=30.08 inHg|Local Time=1832-10-5 09:00
1832	10	06	12	30	0	1012.7	Orig=29.9 inHg|Local Time=1832-10-6 09:00
1832	10	07	12	30	0	1007.7	Orig=29.75 inHg|Local Time=1832-10-7 09:00
1832	10	08	12	30	0	1004.3	Orig=29.65 inHg|Local Time=1832-10-8 09:00
1832	10	09	12	30	0	1016.1	Orig=30 inHg|Local Time=1832-10-9 09:00
1832	10	10	12	30	0	1012.7	Orig=29.9 inHg|Local Time=1832-10-10 09:00
1832	10	11	12	30	0	1011.4	Orig=29.86 inHg|Local Time=1832-10-11 09:00
1832	10	12	12	30	0	999.2	Orig=29.5 inHg|Local Time=1832-10-12 09:00
