SEF	1.0.0
ID	2590
Name	'StJohn's '
Lat	47.56
Lon	-52.7
Alt	None
Source	ACRE-Canada
Link	TBD
Vbl	wf
Stat	point
Units	beaufort scale
Meta	Observer Name='Anon'	UTCOffset=Applied	UTCOffset=3.50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1832	08	21	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-21 09:00
1832	08	21	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-21 16:00
1832	08	22	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-21 21:00
1832	08	22	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-22 09:00
1832	08	22	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-22 16:00
1832	08	23	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-22 21:00
1832	08	23	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-23 09:00
1832	08	23	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-23 16:00
1832	08	24	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-23 21:00
1832	08	24	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-24 09:00
1832	08	24	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-24 16:00
1832	08	25	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-24 21:00
1832	08	25	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-25 09:00
1832	08	25	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-25 16:00
1832	08	26	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-25 21:00
1832	08	26	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-26 09:00
1832	08	26	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-26 16:00
1832	08	27	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-26 21:00
1832	08	27	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-27 09:00
1832	08	27	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-27 16:00
1832	08	28	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-27 21:00
1832	08	28	12	30	0	light winds	Orig=light winds beaufort scale|Local Time=1832-8-28 09:00
1832	08	28	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-28 16:00
1832	08	29	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-28 21:00
1832	08	29	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-29 09:00
1832	08	29	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-29 16:00
1832	08	30	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-29 21:00
1832	08	30	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-30 09:00
1832	08	30	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-30 16:00
1832	08	31	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-30 21:00
1832	08	31	12	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-31 09:00
1832	08	31	19	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-31 16:00
1832	09	01	00	30	0	missing	Orig=missing beaufort scale|Local Time=1832-8-31 21:00
