SEF	1.0.0
ID	3010
Name	'YorkFactory'
Lat	54.033
Lon	-92.5
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	p
Stat	point
Units	hPa
Meta	PGC=Y	Observer Name='Dymond'	UTCOffset=Applied	UTCOffset=6.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	06	01	13	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-1 07:00
1828	06	01	18	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-1 12:00
1828	06	02	02	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-1 20:00
1828	06	02	13	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-2 07:00
1828	06	02	18	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-2 12:00
1828	06	03	02	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-2 20:00
1828	06	03	13	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-3 07:00
1828	06	03	18	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-3 12:00
1828	06	04	02	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-3 20:00
1828	06	04	13	00	0	1001.4	Orig=29.54 inHg|Local Time=1828-6-4 07:00
1828	06	04	18	00	0	999.7	Orig=29.49 inHg|Local Time=1828-6-4 12:00
1828	06	05	02	00	0	1001.4	Orig=29.54 inHg|Local Time=1828-6-4 20:00
1828	06	05	13	00	0	1005.4	Orig=29.66 inHg|Local Time=1828-6-5 07:00
1828	06	05	18	00	0	1007.5	Orig=29.72 inHg|Local Time=1828-6-5 12:00
1828	06	06	02	00	0	1006.1	Orig=29.68 inHg|Local Time=1828-6-5 20:00
1828	06	06	13	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-6 07:00
1828	06	06	18	00	0	1001.7	Orig=29.55 inHg|Local Time=1828-6-6 12:00
1828	06	07	02	00	0	1002.4	Orig=29.57 inHg|Local Time=1828-6-6 20:00
1828	06	07	13	00	0	1003.4	Orig=29.6 inHg|Local Time=1828-6-7 07:00
1828	06	07	18	00	0	1008.8	Orig=29.76 inHg|Local Time=1828-6-7 12:00
1828	06	08	02	00	0	1008.8	Orig=29.76 inHg|Local Time=1828-6-7 20:00
1828	06	08	13	00	0	1008.8	Orig=29.76 inHg|Local Time=1828-6-8 07:00
1828	06	08	18	00	0	1007.8	Orig=29.73 inHg|Local Time=1828-6-8 12:00
1828	06	09	02	00	0	1007.1	Orig=29.71 inHg|Local Time=1828-6-8 20:00
1828	06	09	13	00	0	1006.1	Orig=29.68 inHg|Local Time=1828-6-9 07:00
1828	06	09	18	00	0	1006.1	Orig=29.68 inHg|Local Time=1828-6-9 12:00
1828	06	10	02	00	0	1004.1	Orig=29.62 inHg|Local Time=1828-6-9 20:00
1828	06	10	13	00	0	1000.0	Orig=29.5 inHg|Local Time=1828-6-10 07:00
1828	06	10	18	00	0	999.7	Orig=29.49 inHg|Local Time=1828-6-10 12:00
1828	06	11	02	00	0	999.3	Orig=29.48 inHg|Local Time=1828-6-10 20:00
1828	06	11	13	00	0	998.7	Orig=29.46 inHg|Local Time=1828-6-11 07:00
1828	06	11	18	00	0	1000.3	Orig=29.51 inHg|Local Time=1828-6-11 12:00
1828	06	12	02	00	0	1000.0	Orig=29.5 inHg|Local Time=1828-6-11 20:00
1828	06	12	13	00	0	999.3	Orig=29.48 inHg|Local Time=1828-6-12 07:00
1828	06	12	18	00	0	999.7	Orig=29.49 inHg|Local Time=1828-6-12 12:00
1828	06	13	02	00	0	1001.4	Orig=29.54 inHg|Local Time=1828-6-12 20:00
1828	06	13	13	00	0	1001.0	Orig=29.53 inHg|Local Time=1828-6-13 07:00
1828	06	13	18	00	0	1000.7	Orig=29.52 inHg|Local Time=1828-6-13 12:00
1828	06	14	02	00	0	999.7	Orig=29.49 inHg|Local Time=1828-6-13 20:00
1828	06	14	13	00	0	1000.0	Orig=29.5 inHg|Local Time=1828-6-14 07:00
1828	06	14	18	00	0	1001.4	Orig=29.54 inHg|Local Time=1828-6-14 12:00
1828	06	15	02	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-14 20:00
1828	06	15	13	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-15 07:00
1828	06	15	18	00	0	1002.0	Orig=29.56 inHg|Local Time=1828-6-15 12:00
1828	06	16	02	00	0	1002.4	Orig=29.57 inHg|Local Time=1828-6-15 20:00
1828	06	16	13	00	0	1002.4	Orig=29.57 inHg|Local Time=1828-6-16 07:00
1828	06	16	18	00	0	1003.4	Orig=29.6 inHg|Local Time=1828-6-16 12:00
1828	06	17	02	00	0	1004.4	Orig=29.63 inHg|Local Time=1828-6-16 20:00
1828	06	17	13	00	0	1005.1	Orig=29.65 inHg|Local Time=1828-6-17 07:00
1828	06	17	18	00	0	1005.8	Orig=29.67 inHg|Local Time=1828-6-17 12:00
1828	06	18	02	00	0	1003.7	Orig=29.61 inHg|Local Time=1828-6-17 20:00
1828	06	18	13	00	0	998.7	Orig=29.46 inHg|Local Time=1828-6-18 07:00
1828	06	18	18	00	0	988.5	Orig=29.16 inHg|Local Time=1828-6-18 12:00
1828	06	19	02	00	0	982.0	Orig=28.97 inHg|Local Time=1828-6-18 20:00
