SEF	1.0.0
ID	3010
Name	'YorkFactory'
Lat	54.033
Lon	-92.5
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	ta
Stat	point
Units	C
Meta	Observer Name='Dymond'	UTCOffset=Applied	UTCOffset=6.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	06	01	13	00	0	10.00	Orig=50 F|Local Time=1828-6-1 07:00
1828	06	01	18	00	0	10.56	Orig=51 F|Local Time=1828-6-1 12:00
1828	06	02	02	00	0	2.78	Orig=37 F|Local Time=1828-6-1 20:00
1828	06	02	13	00	0	-1.11	Orig=30 F|Local Time=1828-6-2 07:00
1828	06	02	18	00	0	13.89	Orig=57 F|Local Time=1828-6-2 12:00
1828	06	03	02	00	0	-1.67	Orig=29 F|Local Time=1828-6-2 20:00
1828	06	03	13	00	0	-1.67	Orig=29 F|Local Time=1828-6-3 07:00
1828	06	03	18	00	0	15.56	Orig=60 F|Local Time=1828-6-3 12:00
1828	06	04	02	00	0	11.11	Orig=52 F|Local Time=1828-6-3 20:00
1828	06	04	13	00	0	4.44	Orig=40 F|Local Time=1828-6-4 07:00
1828	06	04	18	00	0	21.67	Orig=71 F|Local Time=1828-6-4 12:00
1828	06	05	02	00	0	3.33	Orig=38 F|Local Time=1828-6-4 20:00
1828	06	05	13	00	0	1.11	Orig=34 F|Local Time=1828-6-5 07:00
1828	06	05	18	00	0	5.56	Orig=42 F|Local Time=1828-6-5 12:00
1828	06	06	02	00	0	2.78	Orig=37 F|Local Time=1828-6-5 20:00
1828	06	06	13	00	0	0.56	Orig=33 F|Local Time=1828-6-6 07:00
1828	06	06	18	00	0	6.11	Orig=43 F|Local Time=1828-6-6 12:00
1828	06	07	02	00	0	1.11	Orig=34 F|Local Time=1828-6-6 20:00
1828	06	07	13	00	0	-1.67	Orig=29 F|Local Time=1828-6-7 07:00
1828	06	07	18	00	0	4.44	Orig=40 F|Local Time=1828-6-7 12:00
1828	06	08	02	00	0	-0.56	Orig=31 F|Local Time=1828-6-7 20:00
1828	06	08	13	00	0	-1.67	Orig=29 F|Local Time=1828-6-8 07:00
1828	06	08	18	00	0	6.11	Orig=43 F|Local Time=1828-6-8 12:00
1828	06	09	02	00	0	-1.11	Orig=30 F|Local Time=1828-6-8 20:00
1828	06	09	13	00	0	-1.67	Orig=29 F|Local Time=1828-6-9 07:00
1828	06	09	18	00	0	11.11	Orig=52 F|Local Time=1828-6-9 12:00
1828	06	10	02	00	0	12.78	Orig=55 F|Local Time=1828-6-9 20:00
1828	06	10	13	00	0	1.11	Orig=34 F|Local Time=1828-6-10 07:00
1828	06	10	18	00	0	12.78	Orig=55 F|Local Time=1828-6-10 12:00
1828	06	11	02	00	0	11.11	Orig=52 F|Local Time=1828-6-10 20:00
1828	06	11	13	00	0	3.33	Orig=38 F|Local Time=1828-6-11 07:00
1828	06	11	18	00	0	2.22	Orig=36 F|Local Time=1828-6-11 12:00
1828	06	12	02	00	0	0.56	Orig=33 F|Local Time=1828-6-11 20:00
1828	06	12	13	00	0	-0.56	Orig=31 F|Local Time=1828-6-12 07:00
1828	06	12	18	00	0	11.11	Orig=52 F|Local Time=1828-6-12 12:00
1828	06	13	02	00	0	1.67	Orig=35 F|Local Time=1828-6-12 20:00
1828	06	13	13	00	0	2.22	Orig=36 F|Local Time=1828-6-13 07:00
1828	06	13	18	00	0	11.67	Orig=53 F|Local Time=1828-6-13 12:00
1828	06	14	02	00	0	2.22	Orig=36 F|Local Time=1828-6-13 20:00
1828	06	14	13	00	0	1.11	Orig=34 F|Local Time=1828-6-14 07:00
1828	06	14	18	00	0	7.22	Orig=45 F|Local Time=1828-6-14 12:00
1828	06	15	02	00	0	5.56	Orig=42 F|Local Time=1828-6-14 20:00
1828	06	15	13	00	0	1.67	Orig=35 F|Local Time=1828-6-15 07:00
1828	06	15	18	00	0	8.33	Orig=47 F|Local Time=1828-6-15 12:00
1828	06	16	02	00	0	4.44	Orig=40 F|Local Time=1828-6-15 20:00
1828	06	16	13	00	0	0.56	Orig=33 F|Local Time=1828-6-16 07:00
1828	06	16	18	00	0	8.33	Orig=47 F|Local Time=1828-6-16 12:00
1828	06	17	02	00	0	2.78	Orig=37 F|Local Time=1828-6-16 20:00
