SEF	1.0.0
ID	3010
Name	'YorkFactory'
Lat	54.033
Lon	-92.5
Alt	16
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='Dymond'	UTCOffset=Applied	UTCOffset=6.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1842	09	01	06	00	0	high winds and cloudy weather	Orig=high winds and cloudy weather text|Local Time=1842-9-1 00:00
1842	09	02	06	00	0	light winds and cloudy weather	Orig=light winds and cloudy weather text|Local Time=1842-9-2 00:00
1842	09	03	06	00	0	fine and clear weather	Orig=fine and clear weather text|Local Time=1842-9-3 00:00
1842	09	04	06	00	0	high wind and clear	Orig=high wind and clear text|Local Time=1842-9-4 00:00
1842	09	05	06	00	0	changeable weather	Orig=changeable weather text|Local Time=1842-9-5 00:00
1842	09	06	06	00	0	showers of rain and blowing	Orig=showers of rain and blowing text|Local Time=1842-9-6 00:00
1842	09	07	06	00	0	showers of rain and blowing	Orig=showers of rain and blowing text|Local Time=1842-9-7 00:00
1842	09	08	06	00	0	morning frost, afternoon fine	Orig=morning frost, afternoon fine text|Local Time=1842-9-8 00:00
1842	09	09	06	00	0	morning frost, afternoon fine	Orig=morning frost, afternoon fine text|Local Time=1842-9-9 00:00
1842	09	10	06	00	0	strong winds and heavy rain	Orig=strong winds and heavy rain text|Local Time=1842-9-10 00:00
1842	09	11	06	00	0	strong winds and heavy rain	Orig=strong winds and heavy rain text|Local Time=1842-9-11 00:00
1842	09	12	06	00	0	strong winds and heavy rain	Orig=strong winds and heavy rain text|Local Time=1842-9-12 00:00
1842	09	13	06	00	0	changeable weather	Orig=changeable weather text|Local Time=1842-9-13 00:00
1842	09	14	06	00	0	light wind and clear mild weather	Orig=light wind and clear mild weather text|Local Time=1842-9-14 00:00
1842	09	15	06	00	0	fine weather NV	Orig=fine weather NV text|Local Time=1842-9-15 00:00
1842	09	16	06	00	0	blowing strong and cloudy	Orig=blowing strong and cloudy text|Local Time=1842-9-16 00:00
1842	09	17	06	00	0	high winds and light rain	Orig=high winds and light rain text|Local Time=1842-9-17 00:00
1842	09	18	06	00	0	morning frost, noon clear	Orig=morning frost, noon clear text|Local Time=1842-9-18 00:00
1842	09	19	06	00	0	morning rain, evening rain	Orig=morning rain, evening rain text|Local Time=1842-9-19 00:00
1842	09	20	06	00	0	high winds and snow showers	Orig=high winds and snow showers text|Local Time=1842-9-20 00:00
1842	09	21	06	00	0	morning frost, evening warm	Orig=morning frost, evening warm text|Local Time=1842-9-21 00:00
1842	09	22	06	00	0	clear weather with high winds	Orig=clear weather with high winds text|Local Time=1842-9-22 00:00
1842	09	23	06	00	0	clear weather with high winds	Orig=clear weather with high winds text|Local Time=1842-9-23 00:00
1842	09	24	06	00	0	fine mild weather	Orig=fine mild weather text|Local Time=1842-9-24 00:00
1842	09	25	06	00	0	morning foggy and cloudy all day	Orig=morning foggy and cloudy all day text|Local Time=1842-9-25 00:00
1842	09	26	06	00	0	rain and cloudy weather	Orig=rain and cloudy weather text|Local Time=1842-9-26 00:00
1842	09	27	06	00	0	strong winds a hazy all day	Orig=strong winds a hazy all day text|Local Time=1842-9-27 00:00
1842	09	28	06	00	0	light breeze and cloudy	Orig=light breeze and cloudy text|Local Time=1842-9-28 00:00
1842	09	29	06	00	0	high winds and rain all day	Orig=high winds and rain all day text|Local Time=1842-9-29 00:00
1842	09	30	06	00	0	morning frost and moderate	Orig=morning frost and moderate text|Local Time=1842-9-30 00:00
1842	10	01	06	00	0	weather fine and clear	Orig=weather fine and clear text|Local Time=1842-10-1 00:00
1842	10	02	06	00	0	fine clear weather	Orig=fine clear weather text|Local Time=1842-10-2 00:00
1842	10	03	06	00	0	morning foggy, evening clear	Orig=morning foggy, evening clear text|Local Time=1842-10-3 00:00
1842	10	04	06	00	0	cloudy and mild weather	Orig=cloudy and mild weather text|Local Time=1842-10-4 00:00
